num,thi,one,mea,bet,log,std,lnl,lnu
0,0,983，992，912，974，963,964.8,790.2,2.897737025,15.09569475,2.889360149,2.905955377
1,0.0175,707，720，667，742，749,717,542.4,2.734319681,13.35365119,2.723493721,2.744882325
2,0.0375,579，553，585，570，524,562.2,387.6,2.588383768,12.13919272,2.57456461,2.601776731
3,0.0575,524，460，445，515，478,484.4,309.8,2.491081413,11.48041811,2.474681762,2.506884256
4,0.0775,462，439，445，463，440,449.8,275.2,2.43964843,11.17497204,2.421645097,2.45693506
5,0.0975,397，360，356，391，356,372,197.4,2.295347148,10.4556205,2.271712413,2.317761772
6,0.1175,333，318，289，324，299,312.6,138,2.139879086,9.871170143,2.10764686,2.16988351
