time,volt,lnR
0.00,73.2,0
10.0,48.4,-0.4
20.0,28.4,-0.95
30.0,16.8,-1.47
40.0,10.0,-1.99
50.0,5.60,-2.57
60.0,3.20,-3.13
70.0,1.60,-3.82
80.0,0.800,-4.52
